"Kampanya Adı","Reklam Adı",Reklamlar,"Yayın Durumu","Yayın Düzeyi",Erişim,Gösterim,Sıklık,"İlişkilendirme Ayarı","Sonuç Türü",Sonuçlar,"Harcanan Tutar (TRY)","Sonuç başına ücret",Başlangıç,Bitiş,"CTR (Tümü)","CPM (1000 Gösterim Başına Ücret)","CPC (Bağlantı Tıklaması Başına Ücret)","Dönüşüm Oranı","Ortalama Sepet",Görüntülemeler,Alışverişler,"Ortalama alışveriş dönüşüm değeri","Alışveriş Reklam Harcamasının Getirisi","Rapor Başlangıcı","Rapor Sonu"
,,,,,818482,3148562,3.84683108,,mixed,,448454.49,,,,2.69205434,142.43152588,7.03524238,0.84698695,3547.90632319,3188525,427,3547.90632319,3.3781711,2026-01-21,2026-05-12
"Sales Catalog | 12.03",Catalog,Catalog,active,ad,204654,658730,3.21874969,"7 günlük tıklama, 1 günlük görüntüleme veya 1 günlük etkileşimli görüntüleme","İnternet sitesi alışverişleri",65,77061.08,1185.55507692,2026-03-12,Sürekli,2.04362941,116.98431831,7.02919639,0.6664616,3802.23076923,665164,65,3802.23076923,3.20713128,2026-01-21,2026-05-12
"Sales | Website | 10.02.26",Reels#18.02.2026,Reels#18.02.2026,inactive,ad,165936,310663,1.87218566,"7 günlük tıklama, 1 günlük görüntüleme veya 1 günlük etkileşimli görüntüleme","İnternet sitesi alışverişleri",73,46506.32,637.07287671,2026-02-10,Sürekli,3.06377007,149.70022178,6.86642847,1.20243782,3415.89041096,315824,73,3415.89041096,5.36185189,2026-01-21,2026-05-12
"Sales | Website | 10.02.26","Reels #11.03.2026","Reels #11.03.2026",inactive,ad,232289,342166,1.47301852,"7 günlük tıklama, 1 günlük görüntüleme veya 1 günlük etkileşimli görüntüleme","İnternet sitesi alışverişleri",35,42365.01,1210.42885714,2026-02-10,Sürekli,3.02689338,123.81420129,5.61721161,0.48951049,5332.65714286,354543,35,5332.65714286,4.4055932,2026-01-21,2026-05-12
"Sales | Website | 10.02.26","Reels#2 14.02.26","Reels#2 14.02.26",not_delivering,ad,142404,278791,1.95774697,"7 günlük tıklama, 1 günlük görüntüleme veya 1 günlük etkileşimli görüntüleme","İnternet sitesi alışverişleri",61,39218.36,642.92393443,2026-02-10,Sürekli,3.87100014,140.67297725,5.42214296,0.95821552,2384.40983607,281343,61,2384.40983607,3.70869664,2026-01-21,2026-05-12
"Sales | Website | 13.03.26 - New Batch","Reels Busra","Reels Busra",inactive,ad,150258,199438,1.3273037,"7 günlük tıklama, 1 günlük görüntüleme veya 1 günlük etkileşimli görüntüleme","İnternet sitesi alışverişleri",23,28473.2,1237.96521739,2026-03-11,Sürekli,3.27018923,142.76717576,5.85747789,0.50185468,3969.60869565,207020,23,3969.60869565,3.20655915,2026-01-21,2026-05-12
"Sales | Website | 10.02.26","#Post2 10.02.2026","#Post2 10.02.2026",inactive,ad,127088,245829,1.9343211,"7 günlük tıklama, 1 günlük görüntüleme veya 1 günlük etkileşimli görüntüleme","İnternet sitesi alışverişleri",61,27181.75,445.60245902,2026-02-10,Sürekli,2.84303317,110.57177957,5.16665083,1.2074426,2431.54098361,246573,61,2431.54098361,5.45674947,2026-01-21,2026-05-12
"Messages | Instagram",Ad#1,Ad#1,inactive,ad,131271,278733,2.12334027,"7 günlük tıklama veya 1 günlük görüntüleme","Başlatılan mesajlaşma konuşmaları",1803,20546.23,11.39557959,2026-01-23,Sürekli,2.03061711,73.71294393,5.6430184,0,,279005,,,,2026-01-21,2026-05-12
"Sales Interest","Catalog Ad","Catalog Ad",active,ad,19132,53783,2.81115409,"7 günlük tıklama veya 1 günlük görüntüleme","İnternet sitesi alışverişleri",9,12743.3,1415.92222222,2026-04-08,Sürekli,1.90394734,236.93918153,15.17059524,1.31004367,5881.11111111,54218,9,5881.11111111,4.1535552,2026-01-21,2026-05-12
"Sales | Website | 13.03.26 - New Batch","Reels 18.03 #2","Reels 18.03 #2",inactive,ad,38303,70756,1.84727045,"7 günlük tıklama, 1 günlük görüntüleme veya 1 günlük etkileşimli görüntüleme","İnternet sitesi alışverişleri",9,12252.68,1361.40888889,2026-03-11,Sürekli,1.9616711,173.16807055,11.55913208,0.98253275,4781.11111111,70647,9,4781.11111111,3.51188475,2026-01-21,2026-05-12
