Ürün Görseli;Ürün Kategorisi;Marka;Model Kodu;Ürün Ad?;Toplam Görüntülenme Say?s?;Brüt Favorilenme Say?s?;Aktif Favori Say?s?;Sat?c? Görüntülenme Say?s?;Sepete Eklenme Say?s?;Brüt Sipari? Adedi;Sat??a Dönü? Oran?;Brüt Sat?? Adedi;Brüt Ciro
https://cdn.dsmcdn.com//ty1810/prod/QC_PREP/20260115/10/ebd50af8-e102-3b88-930b-d4ccfdccdfb8/1_org.jpg;Ak?ll? Takip Cihaz?;iqibla;J01T;Smart Ring J01T Jood Lite Ak?ll? Zikir Yüzü?ü Siyah Renk;33585;2214;1980;33585;673;133;0.40;137;224930
https://cdn.dsmcdn.com//ty1648/prod/QC/20250313/15/d6468693-1509-3922-bd9a-fdb6b9bbe8e0/1_org.jpg;Tesbih;iqibla;J01;Smart Ring J01 Jood Ak?ll? Zikir Yüzü?ü Siyah Renk;9582;539;722;8992;306;74;0.77;76;205440
https://cdn.dsmcdn.com//ty1837/prod/QC_PREP/20260311/10/6e66e536-4e34-302c-abb5-045287cbbf9b/1_org.jpg;Tesbih;iqibla;J03-PRO;Smart Ring J03 Pro Ak?ll? Zikir Yüzü?ü Siyah Renk;4739;389;333;4739;148;36;0.76;39;171210
https://cdn.dsmcdn.com//ty1838/prod/QC_PREP/20260311/10/58aaae16-ef1d-3e42-ab5b-c3d026607d0a/1_org.jpg;Tesbih;iqibla;J03-PRO;Smart Ring J03 Pro Ak?ll? Zikir Yüzü?ü Titanyum Gri Renk;30297;2311;2039;30297;380;36;0.12;39;171210
https://cdn.dsmcdn.com//ty1811/prod/QC_PREP/20260115/10/5aee1e83-72de-3743-90fb-1bf8cd203ec9/1_org.jpg;Ak?ll? Takip Cihaz?;iqibla;J01T;Smart Ring J01T Jood Lite Ak?ll? Zikir Yüzü?ü Camel Bej Renk;66319;3217;3070;66319;813;69;0.10;75;124150
https://cdn.dsmcdn.com//ty1811/prod/QC_PREP/20260114/20/54fd491d-9646-39cd-85e6-b3fceb167531/1_org.jpg;Ak?ll? Takip Cihaz?;iqibla;TYC4506C5FAAE7B2BC65EA800;Smart Ring J01 Jood Ak?ll? Zikir Yüzü?ü Ye?il Renk;41348;2007;1993;41348;673;42;0.10;43;113570
https://cdn.dsmcdn.com//ty1810/prod/QC_PREP/20260115/10/2eb2e8c9-14b9-3566-a746-3cad9223db18/1_org.jpg;Ak?ll? Takip Cihaz?;iqibla;J01T;Smart Ring J01T Jood Lite Ak?ll? Zikir Yüzü?ü Ye?il Renk;14966;960;896;14966;394;55;0.37;57;93930
https://cdn.dsmcdn.com//ty1827/prod/QC_PREP/20260218/16/97cd8102-d339-3b11-9235-3c62a3ba865d/1_org.jpg;Tesbih;iqibla;6-970126921944;Smart Ring J01 Jood Ak?ll? Zikir Yüzü?ü Mavi Renk;8136;625;588;8136;192;29;0.36;32;92780
https://cdn.dsmcdn.com//ty1647/prod/QC/20250313/15/125269cf-4e36-3adb-a90b-ec2696d38e51/1_org.jpg;Tesbih;iqibla;J01;Smart Ring J01 Jood Ak?ll? Zikir Yüzü?ü Pembe Renk;7122;410;643;6426;186;29;0.41;29;75410
https://cdn.dsmcdn.com//ty1837/prod/QC_PREP/20260312/13/047399bb-2ec3-3aa2-a80d-c9335f7345a5/1_org.jpg;Tesbih;iqibla;M02-P;Smart Ring M02-Premium Ak?ll? Zikir Yüzü?ü Alt?n Gül Renk 20mm;5006;280;230;5006;67;4;0.08;4;43960
https://cdn.dsmcdn.com//ty1809/prod/QC_PREP/20260115/10/fb2a1431-23ad-3116-8746-c41896738333/1_org.jpg;Ak?ll? Takip Cihaz?;iqibla;TYC99F86E66F058BACA49FE00;Smart Salat Counter SC01 - Rekat Sayac? Siyah Renk;12912;464;344;12912;113;10;0.08;10;35900
https://cdn.dsmcdn.com//ty1648/prod/QC/20250313/15/4944bb86-e312-3113-ae8f-d3ec6a2cd921/1_org.jpg;Tesbih;iqibla;J01;Smart Ring J01 Jood Ak?ll? Zikir Yüzü?ü Gri Renk;14708;763;857;5207;88;12;0.08;12;31980
https://cdn.dsmcdn.com//ty1836/prod/QC_PREP/20260312/13/c65fe2e4-d97a-3671-b5e3-79d63f0586e1/1_org.jpg;Tesbih;iqibla;M02-P;Smart Ring M02-Premium Ak?ll? Zikir Yüzü?ü Siyah Gri 22mm;1028;60;48;1028;10;2;0.19;2;21980
https://cdn.dsmcdn.com//ty1836/prod/QC_PREP/20260312/13/9a892d20-b54c-37af-90c6-cf836fc44346/1_org.jpg;Tesbih;iqibla;M02-P;Smart Ring M02-Premium Ak?ll? Zikir Yüzü?ü Alt?n Siyah Renk 20mm;4116;168;33;4116;33;1;0.02;1;10990
