"Day","Online store visitors","Sessions","Day (20250330)","Online store visitors (20250330)","Sessions (20250330)","Online store visitors (20250330) ","Sessions (20250330) "
"2026-02-18",17,17,"2025-03-30",0,0,,
"2026-02-19",0,0,"2025-03-31",0,0,,
"2026-02-20",9,9,"2025-04-01",0,0,,
"2026-02-21",16,16,"2025-04-02",0,0,,
"2026-02-22",111,111,"2025-04-03",0,0,,
"2026-02-23",161,169,"2025-04-04",0,0,,
"2026-02-24",60,68,"2025-04-05",0,0,,
"2026-02-25",292,303,,0,0,,
"2026-02-26",249,259,,0,0,,
"2026-02-27",594,675,,0,0,,
"2026-02-28",508,538,,0,0,,
"2026-03-01",666,720,,0,0,,
"2026-03-02",496,532,,0,0,,
"2026-03-03",806,877,,0,0,,
"2026-03-04",1189,1245,,0,0,,
"2026-03-05",1168,1225,,0,0,,
"2026-03-06",1110,1184,,0,0,,
"2026-03-07",1139,1196,,0,0,,
"2026-03-08",1238,1295,,0,0,,
"2026-03-09",1163,1240,,0,0,,
"2026-03-10",1678,1779,,0,0,,
"2026-03-11",1497,1613,,0,0,,
"2026-03-12",3306,3414,,0,0,,
"2026-03-13",5285,5479,,0,0,,
"2026-03-14",3609,3749,,0,0,,
"2026-03-15",4048,4174,,0,0,,
"2026-03-16",5661,5873,,0,0,,
"2026-03-17",3131,3278,,0,0,,
"2026-03-18",1991,2106,,0,0,,
"2026-03-19",1809,1933,,0,0,,
"2026-03-20",1555,1659,,0,0,,
"2026-03-21",1383,1482,,0,0,,
"2026-03-22",1421,1535,,0,0,,
"2026-03-23",1051,1163,,0,0,,
"2026-03-24",885,976,,0,0,,
"2026-03-25",755,849,,0,0,,
"2026-03-26",765,835,,0,0,,
"2026-03-27",598,644,,0,0,,
"2026-03-28",489,532,,0,0,,
"2026-03-29",719,796,,0,0,,
"2026-03-30",582,658,,0,0,,
"2026-03-31",624,689,,0,0,,
"2026-04-01",745,800,,0,0,,
"2026-04-02",641,696,,0,0,,
"2026-04-03",1180,1254,,0,0,,
"2026-04-04",701,759,,0,0,,
"2026-04-05",498,549,,0,0,,
"2026-04-06",316,342,,0,0,,
"2026-04-07",406,451,,0,0,,
"2026-04-08",298,335,,0,0,,
"2026-04-09",344,378,,0,0,,
"2026-04-10",254,280,,0,0,,
"2026-04-11",262,278,,0,0,,
"2026-04-12",271,300,,0,0,,
"2026-04-13",480,504,,0,0,,
"2026-04-14",353,377,,0,0,,
"2026-04-15",307,332,,0,0,,
"2026-04-16",372,400,,0,0,,
"2026-04-17",380,416,,0,0,,
"2026-04-18",321,342,,0,0,,
"2026-04-19",249,263,,0,0,,
"2026-04-20",59,70,,0,0,,
"2026-04-21",42,56,,0,0,,
"2026-04-22",388,405,,0,0,,
"2026-04-23",293,319,,0,0,,
"2026-04-24",208,232,,0,0,,
"2026-04-25",143,153,,0,0,,
"2026-04-26",170,188,,0,0,,
"2026-04-27",157,173,,0,0,,
"2026-04-28",845,864,,0,0,,
"2026-04-29",587,602,,0,0,,
"2026-04-30",213,234,,0,0,,
"2026-05-01",195,223,,0,0,,
"2026-05-02",203,219,,0,0,,
"2026-05-03",233,261,,0,0,,
"2026-05-04",232,272,,0,0,,
"2026-05-05",223,244,,0,0,,
"2026-05-06",212,250,,0,0,,
"2026-05-07",206,232,,0,0,,
"2026-05-08",292,333,,0,0,,
"2026-05-09",280,320,,0,0,,
"2026-05-10",716,886,,0,0,,
"2026-05-11",1091,1500,,0,0,,
"2026-05-12",1935,2320,,0,0,,
"2026-05-13",1384,1610,,0,0,,
"2026-05-14",1395,1637,,0,0,,
"2026-05-15",488,523,,0,0,,
