SKU;Platform;Komisyon oran?;Maliyet (Al??);Kargo;KDV Oran?
HBCV0000DE8MM8;Hepsiburada;0,15;3019;100;0.20
HBCV0000DE8JQZ;Hepsiburada;0,15;3019;100;0.20
HBCV0000DE8FPQ;Hepsiburada;0,15;3019;100;0.20
HBCV0000DAMEKN;Hepsiburada;0,15;1189.6;100;0.20
HBCV0000DALKLZ;Hepsiburada;0,15;1189.6;100;0.20
HBCV0000C5NHWW;Hepsiburada;0,15;786.54;100;0.20
HBCV0000C5N7W9;Hepsiburada;0,15;786.54;100;0.20
HBCV0000C6CZFB;Hepsiburada;0,1;1678.07;100;0.20
HBCV0000C6J3MZ;Hepsiburada;0,15;580;100;0.20
HBCV0000C6J3UI;Hepsiburada;0,15;580;100;0.20
HBCV0000C6J2HM;Hepsiburada;0,15;580;100;0.20
HBCV0000C5MVR6;Hepsiburada;0,15;786.54;100;0.20
HBCV0000C5MVET;Hepsiburada;0,15;786.54;100;0.20
HBCV0000C5MUU5;Hepsiburada;0,15;786.54;100;0.20
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
