SKU;Toplam Goruntulenme Sayisi;Goruntuleyen Musteri Sayisi;Listelere Eklenme Sayisi;Sepete Eklenme Sayisi;Satis Miktari;Satisa Donme Orani
HBCV0000C6J3MZ;35714;28855;143;387;7;%0.024
HBCV0000C5MUU5;17029;13966;3;198;13;%0.086
HBCV0000C5MVR6;7765;6463;1;97;10;%0.15
HBCV0000C6J3UI;7170;5618;61;224;33;%0.59
HBCV0000C5MVET;6579;5301;36;125;17;%0.32
HBCV0000C6J2HM;4981;3989;8;110;10;%0.25
HBCV0000C5NHWW;3831;2929;23;76;8;%0.27
HBCV0000C5N7W9;3193;2401;5;125;21;%0.83
HBCV0000C6CZFB;1334;1108;4;24;6;%0.45
HBCV0000DALKLZ;788;473;10;32;6;%1.3
HBCV0000DAMEKN;316;213;5;17;9;%3.8
HBCV0000DE8FPQ;162;125;1;1;0;%0
HBCV0000DE8JQZ;81;69;0;2;0;%0
HBCV0000DE8MM8;42;34;0;1;0;%0
