Meta bilgisi
Meta Platforms Ireland Limited,Merrion Road,Dublin 4,D04 X2K5,Ireland,VAT Reg. No. IE9692928F

Reklamveren Bilgileri
Hesap: 1575771840379895,VAT Reg. No. 7721735446

Fatura Raporu: 21.01.2026 - 16.05.2026

Meta Reklamları Ödemesi
Tarih,İşlem Kodu,Ödeme Yöntemi,Tutar,Para Birimi
13.05.2026,27131171423239784-26881129378243992,MasterCard ···· 8957,"14.366,91",TRY
08.05.2026,26900279716328954-26900279839662275,MasterCard ···· 8957,"14.433,11",TRY
03.05.2026,26748198581537073-26803654409324820,MasterCard ···· 8957,"14.662,00",TRY
28.04.2026,26684465424577056-26799405159749742,MasterCard ···· 8957,"9.197,49",TRY
27.04.2026,26732628046427457-26681656364857957,MasterCard ···· 8957,"3.665,76",TRY
27.04.2026,26676779278679004-26870886685934920,MasterCard ···· 8957,"1.832,88",TRY
23.04.2026,26701766319513629-26863751793315083,MasterCard ···· 8957,"2.945,11",TRY
22.04.2026,26690457927311135-26660251360331793,MasterCard ···· 8957,"8.067,99",TRY
21.04.2026,26644144531942476-26593276053695989,MasterCard ···· 8957,"3.227,18",TRY
21.04.2026,26782609548095968-26590241063999484,MasterCard ···· 8957,"1.613,59",TRY
19.04.2026,26574498978907035-26623998067290457,MasterCard ···· 8957,"1.833,42",TRY
16.04.2026,26538130445877213-26585292414494356,MasterCard ···· 8957,"14.662,00",TRY
12.04.2026,26740625062294424-26740625138961083,MasterCard ···· 8957,"14.662,00",TRY
07.04.2026,26446123661744559-26528671940156402,MasterCard ···· 8957,"14.662,00",TRY
04.04.2026,26409243248765938-26489690610721202,MasterCard ···· 8957,"14.662,00",TRY
02.04.2026,26633969659626626-26383971124626484,MasterCard ···· 8957,"14.662,00",TRY
31.03.2026,26441883478835249-26603124726044459,MasterCard ···· 8957,"14.662,00",TRY
29.03.2026,26528728913484034-26384156291274637,MasterCard ···· 8957,"6.671,00",TRY
28.03.2026,26326391553717771-26434354566254805,MasterCard ···· 8957,"20.161,00",TRY
25.03.2026,26534950849528514-26288965760793693,MasterCard ···· 8957,"1.332,44",TRY
25.03.2026,26337556022601331-26481924478164478,MasterCard ···· 8957,"20.161,00",TRY
23.03.2026,26373714898985439-26266336416389952,MasterCard ···· 8957,"10.756,38",TRY
22.03.2026,26506393229050937-26308259655530967,MasterCard ···· 8957,"20.161,00",TRY
20.03.2026,26233021559721447-26317892737900991,MasterCard ···· 8957,"20.161,00",TRY
19.03.2026,26298080743215524-26458726893817577,MasterCard ···· 8957,"352,88",TRY
18.03.2026,26217966707893594-26268667889490144,MasterCard ···· 0037,"16.409,26",TRY
18.03.2026,26458229767200623-26407083695648557,MasterCard ···· 8957,"2.524,48",TRY
18.03.2026,26297581303265468-26262866160070318,MasterCard ···· 8957,"1.262,24",TRY
17.03.2026,26243859338637667-26193955796961357,MasterCard ···· 8957,"12.008,00",TRY
16.03.2026,26235332349490366-26190307163992878,MasterCard ···· 8957,"12.011,27",TRY
15.03.2026,26421924254164508-26181700848186847,MasterCard ···· 8957,"12.008,00",TRY
14.03.2026,26171941785829420-26422833384073589,MasterCard ···· 8957,"12.008,00",TRY
13.03.2026,26262026516820945-26207750995581834,MasterCard ···· 8957,"12.008,00",TRY
11.03.2026,26224648143892118-26224648217225444,MasterCard ···· 8957,"12.008,00",TRY
10.03.2026,26128779306812335-26208149975541935,MasterCard ···· 8957,"12.008,00",TRY
08.03.2026,26351173921239542-26300795662944028,MasterCard ···· 8957,"4.971,00",TRY
07.03.2026,26149385581418377-26105019132521682,MasterCard ···· 8957,"2.797,83",TRY
07.03.2026,26147209634969304-26098359116521026,MasterCard ···· 8957,"1.243,48",TRY
07.03.2026,26104072179283044-26104072195949709,MasterCard ···· 8957,"621,74",TRY
07.03.2026,26354676967555898-26098357189854552,MasterCard ···· 8957,"310,87",TRY
06.03.2026,26097918729898389-26194137836943147,MasterCard ···· 8957,"4.971,39",TRY
06.03.2026,26131957739827828-26131957773161158,MasterCard ···· 8957,"4.052,16",TRY
05.03.2026,26131382839885318-26325970363759898,MasterCard ···· 8957,"623,40",TRY
05.03.2026,26086411657715767-26275806522109609,MasterCard ···· 8957,"311,70",TRY
05.03.2026,26124392513917683-26160878313602435,MasterCard ···· 8957,"2.797,92",TRY
05.03.2026,26175474948809436-26074401628916775,MasterCard ···· 8957,"1.243,48",TRY
05.03.2026,26124480733908862-26124480803908855,MasterCard ···· 8957,"621,74",TRY
05.03.2026,26319020994454835-26124479837242285,MasterCard ···· 8957,"310,87",TRY
04.03.2026,26116905877999681-26114502928239975,MasterCard ···· 8957,"4.971,00",TRY
03.03.2026,26063423500014583-26058240650532873,MasterCard ···· 8957,"4.971,00",TRY
02.03.2026,26094599943563607-26291760073847594,MasterCard ···· 8957,"2.542,00",TRY
01.03.2026,26232743849749210-26044468955243367,MasterCard ···· 8957,"2.542,00",TRY
28.02.2026,26078509405172661-26036853562671577,MasterCard ···· 8957,"391,73",TRY
28.02.2026,26073588488998086-26270995062590762,MasterCard ···· 8957,"2.542,00",TRY
27.02.2026,26273562165667379-26022043300819270,MasterCard ···· 8957,"2.542,00",TRY
26.02.2026,26012874335069496-26011747411848859,MasterCard ···· 8957,"2.542,00",TRY
25.02.2026,26080038871686380-26252927361064193,MasterCard ···· 8957,"2.542,00",TRY
24.02.2026,26178066908550238-25989047337452200,MasterCard ···· 8957,"2.542,00",TRY
23.02.2026,26168957269461202-26073233309033601,MasterCard ···· 8957,"1.057,09",TRY
22.02.2026,26017300437960226-25972469045776696,MasterCard ···· 8957,"2.542,00",TRY
21.02.2026,25961846503505617-25956400354050237,MasterCard ···· 8957,"2.542,00",TRY
20.02.2026,25944792051877734-26028521233504811,MasterCard ···· 8957,"2.542,00",TRY
19.02.2026,26127055106984752-25982949358062001,MasterCard ···· 8957,"2.542,00",TRY
17.02.2026,25928990826791181-26005174509172817,MasterCard ···· 8957,"2.472,00",TRY
16.02.2026,25957021877321415-26008341482189451,MasterCard ···· 8957,"1.587,00",TRY
15.02.2026,26001285066228426-25986625814361020,MasterCard ···· 8957,"1.587,00",TRY
15.02.2026,26144692498554353-25999334343090165,MasterCard ···· 8957,"208,37",TRY
14.02.2026,25986180721072194-26145827875107476,MasterCard ···· 8957,"793,56",TRY
14.02.2026,25894015533622048-26082858508071079,MasterCard ···· 8957,"396,78",TRY
14.02.2026,25938810122475925-26131680806522189,MasterCard ···· 8957,"198,39",TRY
13.02.2026,25974500635573536-26071274789229451,MasterCard ···· 8957,"1.587,00",TRY
12.02.2026,25961666370190296-25961666423523624,MasterCard ···· 8957,"1.587,00",TRY
10.02.2026,25852877651069175-25935996156090653,MasterCard ···· 8957,"846,00",TRY
10.02.2026,26101532879536976-25843897128633894,MasterCard ···· 8957,"846,00",TRY
08.02.2026,26026663533690577-26026663600357237,MasterCard ···· 8957,"846,00",TRY
07.02.2026,25824891420534460-26013369875019943,MasterCard ···· 8957,"846,00",TRY
05.02.2026,25898517026505231-26059228103767454,MasterCard ···· 8957,"846,10",TRY
03.02.2026,25789336800756585-26038801872476744,MasterCard ···· 8957,"846,00",TRY
02.02.2026,25853392861017650-25818145094542428,MasterCard ···· 8957,"510,00",TRY
02.02.2026,25850419984648271-25815156744841263,MasterCard ···· 8957,"785,15",TRY
29.01.2026,25785061041184168-25740451778978425,MasterCard ···· 8957,"510,00",TRY
28.01.2026,25982797038077228-25807103408979929,MasterCard ···· 8957,"510,00",TRY
27.01.2026,25811219498568318-25761811876842417,MasterCard ···· 8957,"510,00",TRY
26.01.2026,25786904654333138-25946248895065382,MasterCard ···· 8957,"238,00",TRY
26.01.2026,25943928568630748-25752899761066963,MasterCard ···· 8957,"205,00",TRY
26.01.2026,25795955436761391-25699096393113969,MasterCard ···· 8957,"158,00",TRY
25.01.2026,25952171441139788-25935515322805406,MasterCard ···· 8957,"201,00",TRY
25.01.2026,25699901589700107-25772975022392768,MasterCard ···· 8957,"201,00",TRY
