Urun Adi;Marka;Kategori;Alt Kategori;Varyant;SKU;SaticiSKU;Ortalama Satis Fiyat?(?);Toplam Satis Adedi;Toplam Satis Tutari(?);Komisyon(%);Komisyon Tutar?(?)
Iqibla Smart Ring J01 Jood Ak?ll? Zikir Yüzü?ü Gri Renk;Iqibla;Telefon;Ak?ll? Yüzükler;Pembe/Zikir Yüzü?ü;HBCV0000C5MUU5;6970126921937;2690;1;2690;15;403,5
Iqibla Smart Ring J01 Jood Ak?ll? Zikir Yüzü?ü Gri Renk;Iqibla;Telefon;Ak?ll? Yüzükler;Gri/Zikir Yüzü?ü;HBCV0000C5MVET;6970126921951;2880,91;11;31690;15;432,14
Iqibla Smart Ring J01 Jood Ak?ll? Zikir Yüzü?ü Ye?il Renk;Iqibla;Telefon;Ak?ll? Yüzükler;Ye?il/Zikir Yüzü?ü;HBCV0000C5MVR6;6970126921920;2690;1;2690;15;403,5
Iqibla Smart Ring J01 Jood Ak?ll? Zikir Yüzü?ü Siyah Renk;Iqibla;Telefon;Ak?ll? Yüzükler;Siyah/Zikir Yüzü?ü;HBCV0000C5N7W9;6970126921913;2840;8;22720;15;429,21
Iqibla Smart Ring J01 Jood Ak?ll? Zikir Yüzü?ü Mavi Renk;Iqibla;Telefon;Ak?ll? Yüzükler;Mavi/Zikir Yüzü?ü;HBCV0000C5NHWW;6970126921944;2790;3;8370;15;418,5
Iqibla Smart Salat Counter SC01 - Rekat Sayac? Siyah Renk;Iqibla;Telefon;Di?er Telefon Aksesuarlar?;Siyah (A);HBCV0000C6CZFB;6970126922309;3690;5;18450;10;369
Iqibla Smart Ring J01T Jood Lite Ak?ll? Zikir Yüzü?ü Ye?il Renk;Iqibla;Telefon;Ak?ll? Yüzükler;Ye?il/Zikir Yüzü?ü;HBCV0000C6J2HM;6970126922903;1690;3;5070;15;253,5
Iqibla Smart Ring J01T Jood Lite Ak?ll? Zikir Yüzü?ü Camel Bej Renk;Iqibla;Telefon;Ak?ll? Yüzükler;Kum Beji/Zikir Yüzü?ü;HBCV0000C6J3MZ;6970126922910;1690;1;1690;15;253,5
Iqibla Smart Ring J01T Jood Lite Ak?ll? Zikir Yüzü?ü Siyah Renk;Iqibla;Telefon;Ak?ll? Yüzükler;Siyah/Zikir Yüzü?ü;HBCV0000C6J3UI;6970126922880;1690;14;23660;15;253,5
Iqibla Smart Ring J03 Pro Ak?ll? Zikir Yüzü?ü Titanyum Gri Renk;Iqibla;Telefon;Ak?ll? Yüzükler;Titanyum Gri/RENK;HBCV0000DALKLZ;6970126922132;4390;5;21950;15;658,5
Iqibla Smart Ring J03 Pro Ak?ll? Zikir Yüzü?ü Siyah Renk;Iqibla;Telefon;Ak?ll? Yüzükler;Siyah/RENK;HBCV0000DAMEKN;6970126922125;4390;9;39510;15;658,5
