Urun Adi;Marka;Kategori;Alt Kategori;Varyant;SKU;SaticiSKU;Ortalama Satis Fiyat?(?);Toplam Satis Adedi;Toplam Satis Tutari(?);Komisyon(%);Komisyon Tutar?(?)
Iqibla Smart Ring J01 Jood Ak?ll? Zikir Yüzü?ü Gri Renk;Iqibla;Telefon;Ak?ll? Yüzükler;Pembe/Zikir Yüzü?ü;HBCV0000C5MUU5;6970126921937;2590,33;15;38855;15;388,29
Iqibla Smart Ring J01 Jood Ak?ll? Zikir Yüzü?ü Gri Renk;Iqibla;Telefon;Ak?ll? Yüzükler;Gri/Zikir Yüzü?ü;HBCV0000C5MVET;6970126921951;2785,88;17;47360;15;417,88
Iqibla Smart Ring J01 Jood Ak?ll? Zikir Yüzü?ü Ye?il Renk;Iqibla;Telefon;Ak?ll? Yüzükler;Ye?il/Zikir Yüzü?ü;HBCV0000C5MVR6;6970126921920;2637,34;10;26373,39;15;395,6
Iqibla Smart Ring J01 Jood Ak?ll? Zikir Yüzü?ü Siyah Renk;Iqibla;Telefon;Ak?ll? Yüzükler;Siyah/Zikir Yüzü?ü;HBCV0000C5N7W9;6970126921913;2617,49;34;88994,71;15;394,55
Iqibla Smart Ring J01 Jood Ak?ll? Zikir Yüzü?ü Mavi Renk;Iqibla;Telefon;Ak?ll? Yüzükler;Mavi/Zikir Yüzü?ü;HBCV0000C5NHWW;6970126921944;2665,45;11;29320;15;399,82
Iqibla Smart Salat Counter SC01 - Rekat Sayac? Siyah Renk;Iqibla;Telefon;Di?er Telefon Aksesuarlar?;Siyah (A);HBCV0000C6CZFB;6970126922309;3602,41;7;25216,9;10;358,78
Iqibla Smart Ring J01T Jood Lite Ak?ll? Zikir Yüzü?ü Ye?il Renk;Iqibla;Telefon;Ak?ll? Yüzükler;Ye?il/Zikir Yüzü?ü;HBCV0000C6J2HM;6970126922903;1611,54;13;20950;15;247,05
Iqibla Smart Ring J01T Ak?ll? Zikir Yüzü?ü;Iqibla;Telefon;Ak?ll? Yüzükler;Kum Beji/Zikir Yüzü?ü;HBCV0000C6J3MZ;J01TK;1583;10;15830;15;237,45
Iqibla Smart Ring J01T Jood Lite Ak?ll? Zikir Yüzü?ü Siyah Renk;Iqibla;Telefon;Ak?ll? Yüzükler;Siyah/Zikir Yüzü?ü;HBCV0000C6J3UI;6970126922880;1657,58;33;54700;15;248,64
Iqibla Smart Ring J03 Pro Ak?ll? Zikir Yüzü?ü Siyah Renk;Iqibla;Telefon;Ak?ll? Yüzükler;Titanyum Gri/RENK;HBCV0000DALKLZ;6970126922132;4390;5;21950;15;658,5
Iqibla Smart Ring J03 Pro Ak?ll? Zikir Yüzü?ü Siyah Renk;Iqibla;Telefon;Ak?ll? Yüzükler;Siyah/RENK;HBCV0000DAMEKN;6970126922125;4390;9;39510;15;658,5
