"Oturum ülkesi","Oturum bölgesi","Oturum şehri","Online mağaza ziyaretçileri","Oturumlar","Online store visitors (previous_year)","Sessions (previous_year)","Online store visitors (previous_year) ","Sessions (previous_year) "
"Türkiye","Istanbul","Istanbul",19185,23941,0,0,,
"Türkiye","Ankara","Ankara",4753,5676,0,0,,
"Türkiye",,,2734,3066,0,0,,
"Türkiye","Bursa Province","Bursa",2188,2615,0,0,,
"Türkiye","İzmir Province","Izmir",2021,2387,0,0,,
"United States","Iowa","Council Bluffs",1749,1749,0,0,,
"Türkiye","Ankara","Çankaya",1134,1294,0,0,,
"Türkiye","Adana","Adana",802,920,0,0,,
"Türkiye","Antalya","Antalya",677,816,0,0,,
"Türkiye","Gaziantep","Gaziantep",675,805,0,0,,
"Türkiye","Konya","Selçuklu",611,698,0,0,,
"Türkiye","Kayseri","Kayseri",516,585,0,0,,
"Türkiye","İzmir Province",,489,555,0,0,,
"Türkiye","Mersin","Mersin",467,537,0,0,,
"Türkiye","Sakarya","Adapazarı",435,475,0,0,,
"Türkiye","Ankara",,361,388,0,0,,
"Türkiye","Istanbul","Küçükçekmece",332,373,0,0,,
"Türkiye","Kocaeli","Köseköy",295,333,0,0,,
"Türkiye","Kocaeli","Gebze",278,314,0,0,,
"Türkiye","Trabzon","Trabzon",203,283,0,0,,
"Türkiye","Konya","Konya",251,280,0,0,,
"Türkiye","Samsun","Samsun",249,279,0,0,,
"Türkiye","Eskişehir","Eskişehir",227,265,0,0,,
"Türkiye","Balıkesir","Balıkesir",215,263,0,0,,
"Türkiye","Istanbul",,228,249,0,0,,
"Türkiye","Diyarbakır Province","Diyarbakır",218,247,0,0,,
"Türkiye","Denizli","Denizli",193,229,0,0,,
"Türkiye","Manisa","Magnesia ad Sipylum",196,224,0,0,,
"Türkiye","Istanbul","Avcılar",142,204,0,0,,
"Türkiye","Elazığ","Elâzığ",173,195,0,0,,
"Türkiye","Kahramanmaraş","Kahramanmaraş",140,186,0,0,,
"Türkiye","Diyarbakır Province","Kayapınar",162,179,0,0,,
"Türkiye","Ankara","Mamak",157,178,0,0,,
"Türkiye","Kayseri",,149,170,0,0,,
"Türkiye","Istanbul","Kartal",140,167,0,0,,
"Türkiye","Afyonkarahisar Province","Afyonkarahisar",130,166,0,0,,
"Türkiye","Erzurum","Palandöken",134,165,0,0,,
"Türkiye","Adana","Seyhan",146,161,0,0,,
"Saudi Arabia","Mecca Region","Jeddah",132,154,0,0,,
"Türkiye","Antalya",,148,153,0,0,,
"Türkiye","Malatya","Malatya",141,153,0,0,,
"Türkiye","Kocaeli","İzmit",136,152,0,0,,
"Türkiye","Van","Van",139,151,0,0,,
"Türkiye","Tokat Province","Tokat Province",137,147,0,0,,
"Türkiye","Yalova","Yalova",124,146,0,0,,
"Türkiye","Aydın","Aydin",137,145,0,0,,
"Türkiye","Istanbul","Üsküdar",131,142,0,0,,
"Türkiye","Tekirdağ","Tekirdağ",123,140,0,0,,
"Türkiye","Istanbul","Maltepe",120,136,0,0,,
"Türkiye","Diyarbakır Province",,124,134,0,0,,
